Experiment,Accuracy
1,0.803085110741868
2,0.8828621796526033
3,0.879291176325186
4,0.8774614836904362
5,0.8952808577903693
6,0.8707171838543919
7,0.8563999826125095
8,0.7807588649583892
9,0.865507266130374
10,0.7318172203967017
11,0.8894918535153381
12,0.7121454216156212
13,0.8014718598959707
14,0.729235644239847
15,0.8821738264173093
16,0.8724747247313532
17,0.8699139159408373
18,0.739009963478981
19,0.8497207490241502
20,0.889798877576102
21,0.7436373111556864
22,0.7475573684994818
23,0.8566144212359778
24,0.7336905862192281
25,0.7670733815078252
26,0.7609105232833723
27,0.7757449478652897
28,0.7014923260955309
29,0.89037940551264
30,0.7565723310368844
-,0.8137430255000085
-,0.06655076066328829
