Experiment,Accuracy
1,0.8693837799640974
2,0.7048388689374323
3,0.7608607989370355
4,0.717826585229792
5,0.7359462412448835
6,0.8740508432962929
7,0.7655005021014881
8,0.7315481966444726
9,0.7408246060826886
10,0.8576861921526319
11,0.7628362084932208
12,0.8296178672927185
13,0.7105785682029625
14,0.8133012862319492
15,0.7074903278926985
16,0.8729347691063324
17,0.8737208730077848
18,0.738592679096268
19,0.8797247239556072
20,0.8964891418650002
21,0.7931703268482183
22,0.8501544914106746
23,0.8031590433310124
24,0.7540347990905427
25,0.7148580052154417
26,0.7741378871281518
27,0.8411842333277231
28,0.891110467968353
29,0.7464572247486735
30,0.86016443661521
-,0.7957394658473119
-,0.06490544806733682
